"title","genre_count"
"The Yakuza","3"
"The Phantom Tollbooth","3"
"Fall Time","4"
"White Hunter Black Heart","3"
"Shiner","3"
"The Thief of Bagdad","5"
"Executive Action","3"
"An Innocent Man","3"
"Nicholas Nickleby","4"
"So Dear to My Heart","3"
"Bright Eyes","3"
"Barbarian Queen","3"
"Barbarian Queen II: The Empress Strikes Back","3"
"FairyTale: A True Story","3"
"Lassie","4"
"Close-Up","3"
"Sword of the Valiant: The Legend of Sir Gawain and the Green Knight","3"
"The Amazing Panda Adventure","4"
"Montana","3"
"Truth or Consequences, N.M.","3"
"Ike: Countdown to D-Day","3"
"Samurai I: Musashi Miyamoto","3"
"Samurai II: Duel at Ichijoji Temple","3"
"Samurai III: Duel at Ganryu Island","3"
"Kill Me Again","3"
"North","3"
"The Package","4"
"Battleground","3"
"Beyond the Poseidon Adventure","3"
"The Narrow Margin","3"
"The Devil at 4 O'Clock","3"
"Who'll Stop the Rain","3"
"Emperor of the North","3"
"The Pope of Greenwich Village","3"
"The Mark of Zorro","3"
"Mitchell","3"
"Gay Purr-ee","4"
"Into the West","4"
"Scaramouche","3"
"Once Upon a Forest","3"
"Killing Emmett Young","3"
"Hells Angels on Wheels","4"
"That's Entertainment!","3"
"The 5,000 Fingers of Dr. T.","3"
"Band of the Hand","3"
"Mountains of the Moon","3"
"A Prayer for the Dying","3"
"Pok�mon Heroes: Latios and Latias","4"
"The Yakuza Papers, Vol. 1: Battles Without Honor and Humanity","3"
"The NeverEnding Story","4"
"The Neverending Story II: The Next Chapter","4"
"The Navigator: A Medieval Odyssey","4"
"The Adventures of Huck Finn","4"
"Death Wish 5: The Face of Death","3"
"In Search of the Castaways","4"
"Davy Crockett, King of the Wild Frontier","3"
"Kill Me Later","3"
"A Troll in Central Park","3"
"Thunderbirds are GO","3"
"Green Dragon","3"
"Sarafina!","3"
"Postman Blues","3"
"Godzilla, Mothra and King Ghidorah: Giant Monsters All-Out Attack","4"
"Sesame Street Presents Follow That Bird","3"
"The Desert Rats","3"
"Blade: Trinity","3"
"Sgt. Pepper's Lonely Hearts Club Band","3"
"Time Bandits","3"
"The Sheik","3"
"The Prince and the Pauper","4"
"A Kid in King Arthur's Court","3"
"The Great Locomotive Chase","4"
"Tarzan","4"
"The Saddest Music in the World","3"
"Leave it to Beaver","3"
"My Side of the Mountain","4"
"The Little Prince","3"
"Pistol Opera","3"
"Whisper of the Heart","3"
"The Exterminator","3"
"A Monkey's Tale","3"
"Zu: Warriors from the Magic Mountain","3"
"On a Clear Day You Can See Forever","3"
"Shakedown","4"
"Off Limits","3"
"Halls of Montezuma","3"
"Hero and the Terror","3"
"Project S","3"
"Tycoon","3"
"Mighty Joe Young","4"
"Love Me Tender","3"
"Female Prisoner Scorpion: Jailhouse 41","3"
"Black Orpheus","3"
"Original Gangstas","3"
"3 Ninjas Knuckle Up","3"
"Roadside Prophets","3"
"Jubilee","3"
"The Three Musketeers","3"
"V.I. Warshawski","3"
"Bandolero!","3"
"Sophie's World","3"
"Absolute Beginners","3"
"King David","3"
"The Charge of the Light Brigade","3"
"Young Black Stallion","3"
"Zeus & Roxanne","3"
"The Island at the Top of the World","4"
"The Day of the Dolphin","3"
"Napoleon and Samantha","4"
"Gulliver's Travels","4"
"An Eye for an Eye","3"
"Finian's Rainbow","3"
"Helen of Troy","3"
"The Vikings","3"
"Alexander the Great","3"
"The Newton Boys","3"
"H.M.S. Defiant","3"
"Kidnapped","4"
"The Adventures of Huckleberry Finn","3"
"Al Capone","4"
"Demetrius and the Gladiators","3"
"Gun Fury","3"
"Gumby: The Movie","3"
"White Fang 2: Myth of the White Wolf","4"
"Only Angels Have Wings","3"
"King Solomon's Mines","3"
"Big Bad Mama","3"
"Once in the Life","3"
"Tom and Huck","4"
"Shopping","3"
"Tokyo Drifter","3"
"Gloria","3"
"They Came to Cordura","3"
"Fun & Fancy Free","3"
"The Wind in the Willows","4"
"The King and I","3"
"Peter-No-Tail","3"
"Gordy","3"
"When Time Ran Out...","3"
"The Adventures of Milo and Otis","3"
"Cloak & Dagger","3"
"I'll Be There","3"
"Time and Tide","3"
"Warriors of Virtue","3"
"The Escapist","3"
"Fantasia 2000","3"
"The Black Pirate","3"
"Lockdown","3"
"Krakatoa, East of Java","3"
"Switchblade Sisters","3"
"The Park is Mine","3"
"The Evil That Men Do","3"
"Pups","3"
"Star Kid","3"
"Kart Racer","3"
"Robinson Crusoe","3"
"Money for Nothing","3"
"Race the Sun","4"
"Fire Down Below","3"
"Night Crossing","4"
"Mikey and Nicky","3"
"The Powerpuff Girls Movie","3"
"The Naked Jungle","3"
"Cuba","3"
"The Spook Who Sat by the Door","3"
"The North Avenue Irregulars","3"
"Mad Dog Time","3"
"Thick as Thieves","3"
"The Assassination Bureau","3"
"Heaven's Burning","3"
"Ruby","3"
"The Last of the Mohicans","3"
"Luc�a, Luc�a","3"
"The Glass Shield","3"
"That's Entertainment, Part II","3"
"Roller Boogie","3"
"Jerry and Tom","3"
"Amongst Friends","3"
"That's Entertainment! III","3"
"Camilla","3"
"Winnie the Pooh and the Blustery Day","3"
"The Son of the Sheik","3"
"Detroit 9000","3"
"Treasure of the Yankee Zephyr","3"
"Scream of Stone","3"
"Anna","3"
"Men of Respect","3"
"Traces of Red","3"
"This Is Elvis","3"
"New York Cop","3"
"The 10th Kingdom","3"
"Rat","3"
"Across the Sea of Time","3"
"Avalanche","3"
"Frank Herbert's Children of Dune","3"
"North Star","3"
"Running Scared","3"
"Girl in the Cadillac","3"
"Nothing to Lose","3"
